Date,DayOfWeek,Year,HomeOrAway,Opponent,GameOutcome,PlayersTeamScore,OpponentTeamScore,MIN,FGM,FGA,3PM,3PA,FTM,FTA,REB,AST,BLK,STL,PF,TO,PTS
4/19/2006,Wed,2006,away,CLE,L,99,100,31,6,12,0,0,0,0,3,1,0,0,4,1,12
4/15/2006,Sat,2006,away,MIL,W,120,114,41,6,14,0,0,7,7,10,3,1,1,3,1,19
4/12/2006,Wed,2006,home,CHI,L,90,96,37,4,10,0,1,2,2,7,0,0,0,3,5,10
4/9/2006,Sun,2006,away,MIN,L,83,84,26,1,4,0,0,4,4,6,0,0,0,1,0,6
4/5/2006,Wed,2006,home,MIN,W,101,99,29,4,9,0,0,0,0,3,1,0,0,2,0,8
4/2/2006,Sun,2006,away,MEM,L,87,98,27,3,9,0,0,2,2,4,2,1,0,2,1,8
3/31/2006,Fri,2006,home,NJ,L,88,91,23,2,4,0,1,5,6,2,1,0,0,5,2,9
3/28/2006,Tue,2006,away,CHA,L,117,125,26,6,10,0,2,2,2,0,0,0,0,5,3,14
3/25/2006,Sat,2006,home,DAL,L,83,98,30,6,16,0,1,1,4,11,1,0,0,3,0,13
3/20/2006,Mon,2006,away,DET,L,84,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2006,Fri,2006,home,UTAH,L,101,111,11,1,2,0,0,0,0,5,0,0,0,4,1,2
3/13/2006,Mon,2006,away,MIL,L,87,88,27,3,6,0,1,3,4,3,0,0,3,3,0,9
3/7/2006,Tue,2006,home,GS,W,113,106,29,3,7,0,0,8,10,10,1,0,3,3,0,14
3/3/2006,Fri,2006,home,SAC,L,93,102,24,7,9,0,0,3,4,6,0,0,0,5,3,17
2/27/2006,Mon,2006,home,NJ,W,104,102,25,3,5,0,1,0,4,4,0,2,0,1,2,6
2/24/2006,Fri,2006,away,IND,W,117,112,38,3,7,0,1,3,4,5,2,1,3,5,3,9
2/21/2006,Tue,2006,away,DET,L,87,97,31,6,11,0,0,1,3,2,1,0,0,4,0,13
2/12/2006,Sun,2006,away,SAC,L,84,109,30,3,9,0,2,5,6,2,3,0,1,3,0,11
2/7/2006,Tue,2006,home,DET,W,99,98,23,3,9,0,0,0,2,6,3,0,0,1,0,6
2/3/2006,Fri,2006,home,ORL,W,96,94,19,1,5,0,1,4,4,3,0,1,0,1,0,6
1/30/2006,Mon,2006,home,NY,W,120,101,29,5,8,0,0,3,4,5,2,0,0,3,0,13
1/27/2006,Fri,2006,home,PHX,L,106,110,21,2,4,1,1,3,3,7,0,1,0,3,0,8
1/23/2006,Mon,2006,home,IND,W,104,94,18,5,5,0,0,3,4,3,1,0,2,1,0,13
1/18/2006,Wed,2006,home,DET,L,89,117,24,3,8,0,2,4,4,4,0,0,1,2,3,10
1/14/2006,Sat,2006,home,WSH,L,106,114,22,1,4,0,0,5,6,5,1,0,0,4,3,7
1/11/2006,Wed,2006,away,WSH,L,72,103,31,3,7,0,2,2,3,2,0,0,1,5,1,8
1/7/2006,Sat,2006,home,NO,W,101,93,25,4,7,2,2,1,2,7,1,1,1,2,1,11
1/3/2006,Tue,2006,home,TOR,L,97,108,20,5,9,0,1,0,0,2,1,0,0,3,2,10
12/30/2006,Fri,2006,away,NJ,L,91,99,9,2,3,1,2,2,2,1,0,0,0,4,0,7
12/27/2006,Tue,2006,home,CHA,L,90,93,10,0,2,0,0,0,0,1,0,0,0,4,0,0
12/20/2006,Tue,2006,away,MIA,L,92,111,26,9,14,1,3,7,9,7,2,0,2,3,0,26
12/16/2006,Fri,2006,home,NY,W,122,111,28,2,6,0,2,5,6,6,0,0,1,3,1,9
12/13/2006,Tue,2006,away,CLE,W,100,94,22,2,4,0,0,0,0,3,1,0,2,4,1,4
12/7/2006,Wed,2006,away,UTAH,L,83,95,33,1,6,0,1,1,2,4,1,0,0,4,3,3
12/4/2006,Sun,2006,away,PHX,L,94,112,31,7,11,1,1,2,3,11,0,0,3,2,4,17
11/30/2006,Wed,2006,home,MIA,L,74,96,15,0,4,0,1,0,0,2,0,0,0,1,1,0
11/27/2006,Sun,2006,home,POR,L,75,77,16,0,3,0,0,1,1,3,0,0,2,0,1,1
11/23/2006,Wed,2006,home,BOS,W,120,117,20,1,3,0,0,4,4,2,0,0,1,2,0,6
11/17/2006,Thu,2006,away,DAL,L,78,87,19,2,6,0,0,0,0,5,1,0,0,1,3,4
11/12/2006,Sat,2006,home,MEM,L,84,85,19,5,6,0,0,2,2,4,1,0,0,3,0,12
11/8/2006,Tue,2006,home,LAL,L,97,103,27,1,3,0,1,2,2,5,1,1,0,5,1,4
11/4/2006,Fri,2006,away,LAC,L,77,92,35,2,8,1,1,1,4,9,2,0,1,2,2,6
4/18/2006,Tue,2006,home,MIA,W,103,100,27,6,10,0,0,4,7,9,2,0,0,1,0,16
4/14/2006,Fri,2006,home,CHA,L,110,116,39,9,14,0,1,4,5,6,2,0,2,4,2,22
4/10/2006,Mon,2006,away,ORL,L,88,105,32,3,11,0,1,5,7,7,1,0,2,1,1,11
4/7/2006,Fri,2006,home,WSH,W,114,101,22,3,7,0,0,5,8,6,0,1,1,1,2,11
4/4/2006,Tue,2006,away,NJ,L,94,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/2006,Wed,2006,home,IND,W,94,93,31,4,8,0,0,1,1,5,2,0,0,0,1,9
3/26/2006,Sun,2006,away,ORL,L,101,108,26,4,8,0,0,5,5,6,1,0,1,5,0,13
3/22/2006,Wed,2006,away,PHI,L,106,115,31,8,12,1,2,4,5,2,1,0,0,0,0,21
3/19/2006,Sun,2006,home,ORL,W,108,107,18,2,6,0,1,2,3,1,0,0,0,2,0,6
3/15/2006,Wed,2006,away,NY,L,117,121,31,3,7,0,1,3,6,8,0,0,1,5,2,9
3/11/2006,Sat,2006,home,CHI,L,90,95,23,0,6,0,0,4,6,7,0,1,0,3,0,4
3/4/2006,Sat,2006,away,MIA,L,93,95,26,2,5,0,0,3,4,8,0,1,0,3,3,7
3/1/2006,Wed,2006,away,TOR,W,113,111,25,2,4,0,0,5,5,5,1,0,0,2,3,9
2/25/2006,Sat,2006,home,MIL,L,89,99,24,2,4,0,0,6,8,5,1,0,0,2,3,10
2/22/2006,Wed,2006,home,SEA,L,109,114,34,4,10,0,1,9,11,5,1,0,2,5,1,17
